#GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE	GO ASPECT
UniProtKB	O88623-2	Usp2	involved_in	GO:0032922	circadian regulation of gene expression	ECO:0000315	IMP	PMID:26756164		10090	UniProt	has_input(UniProtKB:Q99MJ6),occurs_in(UBERON:0001204)	20220204	P
UniProtKB	Q13547	HDAC1	involved_in	GO:0006346	DNA methylation-dependent heterochromatin formation	ECO:0000316	IGI	PMID:23770133	UniProtKB:Q9UBB5	9606	BHF-UCL	has_input(UniProtKB:P36952)	20160511	P
UniProtKB	Q4QQW4	Hdac1	involved_in	GO:0006346	DNA methylation-dependent heterochromatin formation	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q13547	10116	RGD	has_input(UniProtKB:P36952)	20160511	P
UniProtKB	A0A8I6AFM4	Mbd2	involved_in	GO:0006346	DNA methylation-dependent heterochromatin formation	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UBB5	10116	RGD	has_input(UniProtKB:P36952)	20160511	P
UniProtKB	B0BNM2	Mbd2	involved_in	GO:0006346	DNA methylation-dependent heterochromatin formation	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UBB5	10116	RGD	has_input(UniProtKB:P36952)	20160511	P
UniProtKB	D4A986	Mbd2	involved_in	GO:0006346	DNA methylation-dependent heterochromatin formation	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9UBB5	10116	RGD	has_input(UniProtKB:P36952)	20160511	P
UniProtKB	Q9UBB5	MBD2	involved_in	GO:0006346	DNA methylation-dependent heterochromatin formation	ECO:0000316	IGI	PMID:23770133	UniProtKB:Q13547	9606	BHF-UCL	has_input(UniProtKB:P36952)	20160511	P
UniProtKB	P43694	GATA4	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000314	IDA	PMID:29325903		9606	BHF-UCL	has_input(UniProtKB:P01160)|has_input(UniProtKB:P29474)	20201118	F
UniProtKB	P46152	Gata4	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P43694	10116	RGD	has_input(UniProtKB:P01160)|has_input(UniProtKB:P29474)	20201118	F
UniProtKB	O35800	Hif1a	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q16665	10116	RGD	occurs_in(CL:2000046),part_of(GO:0071456),part_of(GO:1902895),has_input(RNAcentral:URS0000347D0F_9606)	20210326	F
UniProtKB	Q16665	HIF1A	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000315	IMP	PMID:33108349		9606	BHF-UCL	occurs_in(CL:2000046),part_of(GO:0071456),part_of(GO:1902895),has_input(RNAcentral:URS0000347D0F_9606)	20210326	F
UniProtKB	O35767	Nkx2-5	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P52952	10116	RGD	has_input(UniProtKB:P29474)	20201119	F
UniProtKB	P52952	NKX2-5	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000314	IDA	PMID:29325903		9606	BHF-UCL	has_input(UniProtKB:P29474)	20201119	F
UniProtKB	P17947	SPI1	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000314	IDA	PMID:20139074		9606	ARUK-UCL	has_input(UniProtKB:Q8WYK2)	20201218	F
UniProtKB	Q6BDS1	Spi1	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P17947	10116	RGD	has_input(UniProtKB:Q8WYK2)	20201218	F
UniProtKB	P10361	Tp53	enables	GO:0001216	DNA-binding transcription activator activity	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P04637	10116	RGD	has_input(RNAcentral:URS0000446722_9606)	20200806	F
UniProtKB	P10275	AR	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:25802280		9606	BHF-UCL	part_of(GO:1902895),has_input(RNAcentral:URS00001DC04F_9606)	20220817	F
UniProtKB	A6YP92	Arx	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q96QS3	10116	RGD	has_input(UniProtKB:P41229)	20220826	F
UniProtKB	Q96QS3	ARX	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:31691806		9606	UniProt	has_input(UniProtKB:P41229)	20220826	F
UniProtKB	P15336	ATF2	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:16300731		9606	NTNU_SB	has_input(NCBI_Gene:896)	20191112	F
UniProtKB	P18847	ATF3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000250	ISS	PMID:18308734	UniProtKB:P29596	9606	ARUK-UCL	has_input(UniProtKB:D3ZDH4),occurs_in(CL:0000115)	20201006	F
UniProtKB	P29596	Atf3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:18308734		10116	ARUK-UCL	has_input(UniProtKB:D3ZDH4),occurs_in(CL:0000115)	20201006	F
UniProtKB	P18847	ATF3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:16300731		9606	NTNU_SB	has_input(NCBI_Gene:896)	20191112	F
UniProtKB	P29596	Atf3	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P18847	10116	RGD	has_input(NCBI_Gene:896)	20191112	F
UniProtKB	Q6P788	Atf5	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q9Y2D1	10116	RGD	has_input(NCBI_Gene:896)	20191112	F
UniProtKB	Q9Y2D1	ATF5	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:16300731		9606	NTNU_SB	has_input(NCBI_Gene:896)	20191112	F
UniProtKB	G3V909	Atf6	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P18850	10116	RGD	has_input(NCBI_Gene:3309)	20191112	F
UniProtKB	P18850	ATF6	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:14973138		9606	NTNU_SB	has_input(NCBI_Gene:3309)	20191112	F
UniProtKB	A0A8I5ZPJ5	Atf6b	contributes_to	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99941	10116	RGD	has_input(NCBI_Gene:3309)	20191112	F
UniProtKB	F7ERH6	Atf6b	contributes_to	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99941	10116	RGD	has_input(NCBI_Gene:3309)	20191112	F
UniProtKB	Q4G097	Atf6b	contributes_to	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:Q99941	10116	RGD	has_input(NCBI_Gene:3309)	20191112	F
UniProtKB	Q99941	ATF6B	contributes_to	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:14973138		9606	NTNU_SB	has_input(NCBI_Gene:3309)	20191112	F
UniProtKB	P05554	Cebpa	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	UniProtKB:P49715	10116	RGD	occurs_in(UBERON:0002107),has_input(UniProtKB:P81172)	20181011	F
UniProtKB	P49715	CEBPA	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000315	IMP	PMID:16946298		9606	BHF-UCL	occurs_in(UBERON:0002107),has_input(UniProtKB:P81172)	20181011	F
UniProtKB	P05554	Cebpa	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P53566	10116	UniProt	has_input(UniProtKB:Q60994)	20200519	F
UniProtKB	P05554	Cebpa	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:99480	10116	RGD	has_input(UniProtKB:Q60994)	20200519	F
UniProtKB	P49715	CEBPA	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P53566	9606	UniProt	has_input(UniProtKB:Q60994)	20200519	F
UniProtKB	P53566	Cebpa	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000314	IDA	PMID:17090532		10090	GO_Central	has_input(UniProtKB:Q60994)	20200519	F
UniProtKB	P16220	CREB1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q01147	9606	ARUK-UCL	has_input(UniProtKB:Q15911),part_of(GO:0071300)	20190807	F
UniProtKB	P15337	Creb1	enables	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	ECO:0000266	ISO	GO_REF:0000096	MGI:MGI:88494	10116	RGD	has_input(UniProtKB:E9QMD3),part_of(GO:0071300)	20190807	F
